id,surface_form,start_pos,end_pos,type
p2793_2,B. G.,247,252,PER
p2739_1,Forcell,54,61,PER
p2739_1,de Repub,196,204,PER
p2740_1,Cadmeo,4246,4252,PER
p2740_1,Fenicio,4255,4262,PER
p2757_1,Crusca,64,70,PER
p2757_1,Cassiod.,278,286,PER
p2757_1,Venet.,291,297,PER
p2709_1,Danischmend,1345,1356,PER
p2796_1,Gazaeum,572,579,PER
p2796_1,Fabric,628,634,PER
p2796_1,B. G.,639,644,PER
p2786_1,Forcell,557,564,PER
p2735_1,Orat,389,393,PER
p2776_1,Γιγνώσκω,990,998,PER
p2788_1,Etym.,407,412,PER
p2788_1,Iliade,977,983,PER
p2788_1,Harpyia,1092,1099,PER
p2788_1,Raptim,1159,1165,PER
p2788_1,Rapinoso,1805,1813,PER
p2731_1,Dial.i,210,216,PER
p2762_1,Laonde,1628,1634,PER
p2762_1,Chateaubriand nei Martiri,2596,2621,PER
p2715_1,Degli Scritt,20,32,PER
p2771_3,Lateo,2334,2339,PER
p2771_3,Simpos.,2566,2573,PER
p2771_3,Dori,2590,2594,PER
p2771_3,Patior,2635,2641,PER
p2771_3,Eol,2753,2756,PER
p2775_1,Schrevel,828,836,PER
p2799_1,Northi,592,598,PER
p2799_1,Enrico Stefano,758,772,PER
p2799_1,Fabricio,811,819,PER
p2799_1,B. G.,821,826,PER
p2799_1,Fabricio,883,891,PER
p2799_1,Fabricio,1131,1139,PER
p2703_1,Crusca,981,987,PER
p2703_1,Bobò,1014,1018,PER
p2738_1,Chateaubriand,208,221,PER
p2738_1,Chateaubriand,615,628,PER
p2738_1,Cristiano,1039,1048,PER
p2734_1,S. Ilario,122,131,PER
p2734_1,V.,262,264,PER
p2734_1,S. Ilario,293,302,PER
p2734_1,S. Atanas,349,358,PER
p2796_2,Veggasi,2473,2480,PER
p2722_1,Giuseppe Paganino,1374,1391,PER
p2778_1,Bastimi,579,586,PER
p2757_2,Torto,563,568,PER
p2757_2,Odorus,1124,1130,PER
p2792_1,Forcell,242,249,PER
p2792_1,Arpie,790,795,PER
p2790_1,Forcell,52,59,PER
p2790_1,Teogonia,200,208,PER
p2790_1,Iliade,1451,1457,PER
p2881_1,Vitulia,840,847,PER
p2881_1,Vitalia,908,915,PER
p2819_2,V. Forcell,490,500,PER
p2819_2,Sponso,575,581,PER
p2809_1,V. Forcell,239,249,PER
p2809_1,Crusca,1020,1026,PER
p2809_1,Gio,1095,1098,PER
p2809_1,Venez,1358,1363,PER
p2809_1,Venez.,1539,1545,PER
p2809_1,Crusca,1634,1640,PER
p2829_1,Chateaubriand,1382,1395,PER
p2821_3,Forcell,1181,1188,PER
p2813_1,Cubare,3201,3207,PER
p2813_1,Battista,3600,3608,PER
p2811_2,B. G.,349,354,PER
p2889_2,Ructuo,680,686,PER
p2889_2,Eructuo,712,719,PER
p2889_2,Forcell,723,730,PER
p2889_2,Eructo,735,741,PER
p2865_1,Crusca,449,455,PER
p2818_1,V. Forc,693,700,PER
