doc_id,surface,tag,start_pos,end_pos,left_context,right_context
p233_3,Algarotti,PER,72,80,"[233,3] A quello che ho detto p. 207. si può aggiungere quello che dice ","i dell'immenso studio che bisogna oggidì per divenir letterato di qualche pregio nel mondo, dove non passa più per vero letterato chi non è enciclopedico, studio al quale solo basta appena la vita dell'uomo innanzi di poterlo mettere a frutto coi parti del proprio ingegno, a differenza del poco studio che bisognava agli antichi. (8. 7.{bre} 1820.)."
p983_2,Bonamy,PER,71,76,"[983,2] Nelle Mémoires de l'Acad. des Inscriptions, Tom. 24. si trova: ","y, Réflexions sur la langue latine vulgaire. (25. Aprile 1821.). {+E son pur da vedere in questo proposito le memorie di Trévoux, anno 1711. p. 914.}"
p983_2,Acad.,ORG,28,32,"[983,2] Nelle Mémoires de l'",". des Inscriptions, Tom. 24. si trova: Bonamy, Réflexions sur la langue latine vulgaire. (25. Aprile 1821.). {+E son pur da vedere in questo proposito le memorie di Trévoux, anno 1711. p. 914.}"
p983_2,Inscriptions,LOC,38,49,"[983,2] Nelle Mémoires de l'Acad. des ","s, Tom. 24. si trova: Bonamy, Réflexions sur la langue latine vulgaire. (25. Aprile 1821.). {+E son pur da vedere in questo proposito le memorie di Trévoux, anno 1711. p. 914.}"
p983_2,Trévoux,PER,197,203,"[983,2] Nelle Mémoires de l'Acad. des Inscriptions, Tom. 24. si trova: Bonamy, Réflexions sur la langue latine vulgaire. (25. Aprile 1821.). {+E son pur da vedere in questo proposito le memorie di ","x, anno 1711. p. 914.}"
p58_3,Omero,PER,34,38,"[58,3] Tutto si è perfezionato da ","o in poi, ma non la poesia."
p2770_1,Omero,PER,31,35,"[2770,1] Tali erano i tempi di ","o, e molto più quelli ch'egli dipinge: e tali bisogna considerarli volendo ben conoscere ed estimare la somma arte imitativa di quel grande spirito, anche nelle situazioni più difficili. Siccome appunto era questa, assai più difficile per lui, stante le predette considerazioni, che non sarebbe per noi. Nella quale quanto più a noi può parere ch'egli abbia peccato, quanto più egli si allontana dalla nostra opinione, e delude ed étonne la nostra aspettativa, tanto la sua arte è maggiore, la sua imitazione più vera, la sua osservazione e conservazione de' caratteri, de' tempi, de' personaggi più costante, e più mirabile la sua riuscita, e la felicità con cui egli si trae fuori delle difficoltà somme di questo passo. {{E tanto eziandio erano e si denno valutar maggiori esse difficoltà. (11. Giugno. 1823.).}}"
p2255_1,Orazio,PER,221,226,"[2255,1] Circa il costume antico di celebrare il dì natalizio o genetliaco delle persone insigni per letteratura ec. anche dopo la loro morte (oltre quello dei viventi, degli amici ec. del che puoi vedere parecchie odi d'","o, e gli antiquarii ec. ec. nè solo circa il genetliaco, ma circa molte altre ricorrenze anniversarie, o pubbliche o private, celebrate pubblicamente o privatamente come festive); v. l'Heyne, Vita Virgilii per annos digesta, anno Virgilii I. e gli autori ch'ei cita, e le note ai medesimi. (15. Dic. 1821.). {V. in particolare Oraz. od. II. lib. 4. v. 13-20. e quivi i comentatori, ed osserva il costume di celebrare, e aver per sacro e festivo anche il dì proprio natalizio anniversario.}"
p2255_1,Heyne,PER,411,415,"[2255,1] Circa il costume antico di celebrare il dì natalizio o genetliaco delle persone insigni per letteratura ec. anche dopo la loro morte (oltre quello dei viventi, degli amici ec. del che puoi vedere parecchie odi d'Orazio, e gli antiquarii ec. ec. nè solo circa il genetliaco, ma circa molte altre ricorrenze anniversarie, o pubbliche o private, celebrate pubblicamente o privatamente come festive); v. l'","e, Vita Virgilii per annos digesta, anno Virgilii I. e gli autori ch'ei cita, e le note ai medesimi. (15. Dic. 1821.). {V. in particolare Oraz. od. II. lib. 4. v. 13-20. e quivi i comentatori, ed osserva il costume di celebrare, e aver per sacro e festivo anche il dì proprio natalizio anniversario.}"
p2255_1,Virgilii,PER,423,430,"[2255,1] Circa il costume antico di celebrare il dì natalizio o genetliaco delle persone insigni per letteratura ec. anche dopo la loro morte (oltre quello dei viventi, degli amici ec. del che puoi vedere parecchie odi d'Orazio, e gli antiquarii ec. ec. nè solo circa il genetliaco, ma circa molte altre ricorrenze anniversarie, o pubbliche o private, celebrate pubblicamente o privatamente come festive); v. l'Heyne, Vita ","i per annos digesta, anno Virgilii I. e gli autori ch'ei cita, e le note ai medesimi. (15. Dic. 1821.). {V. in particolare Oraz. od. II. lib. 4. v. 13-20. e quivi i comentatori, ed osserva il costume di celebrare, e aver per sacro e festivo anche il dì proprio natalizio anniversario.}"
