id,start_pos,end_pos,type,alias,wb_id,score
https://digitalzibaldone.net/node/p2700_1,1510,1520,PER,Girolamo Tiraboschi >> it,Q978614,-0.19910597801208496
https://digitalzibaldone.net/node/p2700_1,1530,1539,PER,Perticara >> it,Q2307037,-3.7664058208465576
https://digitalzibaldone.net/node/p2700_1,1541,1558,WORK,Dante Alighieri >> it,Q1067,-1.5182907581329346
https://digitalzibaldone.net/node/p2703_1,809,817,PER,César-Pierre Richelet >> de,Q1236889,-1.1138758659362793
https://digitalzibaldone.net/node/p2703_1,156,184,WORK,Saggio sulla violenza >> it,Q3944836,-5.079105854034424
https://digitalzibaldone.net/node/p2703_1,969,978,WORK,Accademia della Crusca >> it,Q338489,-1.2050217390060425
https://digitalzibaldone.net/node/p2703_1,1282,1291,WORK,Crusca >> it,Q188672,-2.714869499206543
https://digitalzibaldone.net/node/p2703_1,1303,1313,WORK,Forcellini >> it,Q1436657,-0.6727128028869629
https://digitalzibaldone.net/node/p2705_1,114,120,LOC,Italia >> it,Q38,-0.45504510402679443
https://digitalzibaldone.net/node/p2705_1,127,136,PER,Perticara >> it,Q2307037,-2.345319986343384
https://digitalzibaldone.net/node/p2705_1,137,154,WORK,Dante Alighieri >> it,Q1067,-2.1969399452209473
https://digitalzibaldone.net/node/p2705_2,33,42,PER,Perticara >> it,Q2307037,-3.517366409301758
https://digitalzibaldone.net/node/p2705_2,43,66,WORK,Perticara >> it,Q2307037,-2.7773423194885254
https://digitalzibaldone.net/node/p2705_3,589,598,PER,Perticara >> it,Q2307037,-3.7934954166412354
https://digitalzibaldone.net/node/p2705_3,623,628,PER,Vincenzo Monti >> it,Q723643,-0.41297048330307007
https://digitalzibaldone.net/node/p2705_3,2172,2177,PER,John Locke >> it,Q9353,-0.17779910564422607
https://digitalzibaldone.net/node/p2705_3,577,585,WORK,Trattato (letteratura) >> it,Q384515,-0.35370561480522156
https://digitalzibaldone.net/node/p2705_3,611,619,WORK,Proposta >> it,Q3924026,-1.5950285196304321
https://digitalzibaldone.net/node/p2708_1,0,8,PER,Cartesio >> it,Q9191,-0.21370309591293335
https://digitalzibaldone.net/node/p2708_1,171,179,PER,Cartesio >> it,Q9191,-0.2032938152551651
https://digitalzibaldone.net/node/p2708_1,426,432,PER,Isaac Newton >> it,Q935,-0.17528018355369568
https://digitalzibaldone.net/node/p2708_1,591,598,PER,Platone >> it,Q859,-0.1718893200159073
https://digitalzibaldone.net/node/p2709_1,473,481,PER,Cartesio >> it,Q9191,-0.19149784743785858
https://digitalzibaldone.net/node/p2709_1,484,490,PER,Isaac Newton >> it,Q935,-0.16949240863323212
