id,start_pos,end_pos,surface,type,score
p4103_5,138,139,G,LOC,0.6169991
p480_1,405,412,Heinsio,PER,0.9373427
p480_1,420,422,##io,PER,0.52183247
p480_1,460,470,Forcellini,PER,0.5999847
p109_1,0,2,Ba,PER,0.57891923
p109_1,593,595,Bu,PER,0.4985861
p501_1,199,206,Laerzio,LOC,0.82084316
p501_1,230,234,##bano,PER,0.33634225
p501_1,321,326,Suida,PER,0.9832673
p501_1,346,358,Aldobrandini,PER,0.95457083
p996_1,324,326,Ci,PER,0.89499754
p88_1,143,150,Corinna,PER,0.977204
p88_1,329,336,Corinna,PER,0.97731894
p1965_1,218,224,France,LOC,0.9370139
p1965_1,253,260,Langage,PER,0.63099
p4234_2,227,232,Rubbi,LOC,0.8667939
p4201_1,27,37,Anguillara,PER,0.6621397
p3988_2,35,37,Di,PER,0.30495042
p3988_2,215,220,Force,PER,0.55631626
p3988_2,227,229,Di,PER,0.31743264
p3988_2,272,275,For,PER,0.51602346
p3988_2,281,283,Di,PER,0.30398458
p4329_1,861,862,S,LOC,0.35381868
p4329_1,864,871,Lorenzo,LOC,0.3480447
p2923_3,564,569,Belle,PER,0.5650571
p2329_1,545,547,Et,LOC,0.4201679
p2329_1,550,552,##ca,LOC,0.41821036
p4227_4,42,48,Varchi,LOC,0.69133615
p4227_4,50,58,Ercolano,LOC,0.92709583
p4227_4,60,64,Vene,LOC,0.8877578
p4461_1,137,143,Romani,PER,0.45166117
p3735_1,227,230,Ruo,LOC,0.4980989
p3735_1,241,245,Ruta,LOC,0.6676859
p3735_1,570,573,Reg,PER,0.33216333
p3735_1,575,578,Par,PER,0.29710677
p21_5,8,15,Longino,PER,0.97692287
p2655_1,83,85,Ci,LOC,0.27533776
p2655_1,193,196,Mai,PER,0.73243165
p473_2,77,86,Artageram,PER,0.9074696
p473_2,113,118,Adduo,PER,0.93834335
p4282_8,55,56,V,PER,0.6152626
p4282_8,58,65,Forcell,PER,0.48925412
p4282_8,72,81,Spagnuoli,LOC,0.6832407
p2171_1,51,53,##ël,PER,0.4810986
p4232_3,92,100,Casaubon,PER,0.6353738
p4232_3,105,111,Athena,LOC,0.4855625
p4232_3,139,146,Aristot,PER,0.9720626
p3005_2,598,599,C,PER,0.31972367
p3005_2,765,766,C,LOC,0.3773104
p3005_2,786,787,G,PER,0.42692322
