id,text

https://digitalzibaldone.net/node/p1000_1,"Osservo ancora che Giuseppe Ebreo avendo scritto primieramente i suoi libri della Guerra Giudaica nella lingua sua patria, (qualunque fosse questa lingua, o l'Ebraica, come crede l'Ittigio, (nel Giosef. dell'Havercamp, t. 2. appendice. p. 80. colonna 2.) o la Sirocaldaica, come altri, (v. Basnag. Exercit. ad Baron. p. 388. Fabric. 3. 230. not. p)) in uso, com'egli dice, de' barbari dell'Asia superiore, cioè, com'egli stesso spiega (de Bello Iud. Proem. art. 2. edit. Haverc. {t. 2.} p. 48.) de' Parti, de' Babilonesi, degli Arabi più lontani dal mare, de' Giudei di là dall'Eufrate, e degli Adiabeni; (Fabric. l. c. Gioseffo l. c. p. 47. not. h.) volendo poi, com'egli dice, accomodarla all'uso de' sudditi dell'imperio ﻿ 1001 Romano, τοῖς κατὰ τὴν ῾Pωμαίων ἡγεμονίαν * , {e scrivendo in Roma,} giudicò, come pur dice, {(Fabric. 3. 229. fine e 231. principio.)} e come fece, di traslatarla {(non in latino)} in greco, ῾Eλλάδι γλώσσῃ μεταβαλεῖν * . (Idem, l. c. art. 1. p. 47.) E così traslatata la presentò a Vespasiano e a Tito, Impp. Romani. (Ittigio l. c. {Fabric. 3. 231. lin. 8.} Tillemont, Empereurs t. 1. p. 582.) (30. Aprile. 1821.)."

https://digitalzibaldone.net/node/p1001_1,"La lingua greca, benchè a noi sembri a prima vista il contrario, e ciò in gran parte a cagione delle circostanze in cui siamo tutti noi Europei ec. rispetto alla latina, è più facile della latina; dico quella lingua greca antica quale si trova ne' classici ottimi, e quella lingua latina quale si trova ne' classici del miglior tempo; e l'una e l'altra comparativamente, qual'è presso gli scrittori dell'ottima età dell'una e dell'altra lingua. E ciò malgrado la maggiore ricchezza grammaticale ed elementare della lingua greca. Questa dunque è la cagione perch'ella fosse più atta della latina ad essere universale: {+e n'è la cagione sì per se stessa e immediatamente, sì per la somiglianza che produce fra la lingua volgare e quella della letteratura, fra la parlata e la scritta.} (1. Maggio 1821.)."

https://digitalzibaldone.net/node/p1001_2,"Quello che ho detto pp. 970-73 della difficoltà naturale che hanno e debbono avere i francesi a conoscere e molto più a gustare le altrui lingue, cresce se si applica alle lingue antiche, e fra le moderne Europee e colte, alla lingua nostra. Giacchè la lingua ﻿ 1002 francese è per eccellenza, lingua moderna; vale a dire che occupa l'ultimo degli estremi fra le lingue {nella cui indole ec.} signoreggia l'immaginazione, e quelle dove la ragione. (Intendo la lingua francese qual è ne' suoi classici, qual è oggi, qual è stata sempre da che ha preso una forma stabile, e quale fu ridotta dall'Accademia). Si giudichi dunque quanto ella sia propria a servire d'istrumento per conoscere e gustare le lingue antiche, e molto più a tradurle: e si veda quanto male Mad. di Staël (v. p. 962.) la creda più atta ad esprimere la lingua romana che le altre, perciocch'è nata da lei. Anzi tutto all'opposto, se c'è lingua difficilissima a gustare ai francesi, e impossibile a rendere in francese, è la latina, la quale occupa forse l'altra estremità o grado nella detta scala delle lingue, ristringendoci alle lingue Europee. Giacchè la lingua latina è quella fra le dette lingue (almeno fra le {ben} note, {e colte,} per non parlare adesso della Celtica poco nota ec.) dove meno signoreggia la ragione. Generalmente poi le lingue antiche sono tutte suddite della immaginazione, e però estremamente separate dalla lingua francese. Ed è ben naturale che le lingue antiche fossero signoreggiate dall'immaginazione più che qualunque moderna, e quindi siano senza contrasto, le meno adattabili alla lingua francese, all'indole sua; ed alla conoscenza e molto più al gusto de' francesi. ﻿ 1003 Nella scala poi e proporzione delle lingue moderne, la lingua italiana, {(alla quale tien subito dietro la Spagnuola)} occupa senza contrasto l'estremità della immaginazione, ed è la più simile alle antiche, ed al carattere antico. Parlo delle lingue moderne colte, se non altro delle Europee: giacchè non voglio entrare nelle Orientali, e nelle incolte regna sempre l'immaginazione più che in qualunque colta, e la ragione vi ha meno parte che in qualunque lingua formata. Proporzionatamente dunque dovremo dire della lingua francese rispetto all'italiana, quello stesso che diciamo rispetto alle antiche. E il fatto lo conferma, giacchè nessuna lingua {moderna colta,} è tanto o ignorata, o malissimo e assurdamente gustata dai francesi, quanto l'italiana: di nessuna essi conoscono meno lo spirito e il genio, che dell'italiana; di nessuna discorrono con tanti spropositi non solo di teorica, ma anche di fatto e di pratica; non ostante che la lingua italiana sia sorella della loro, e similissima ad essa nella più gran parte delle sue radici, e nel materiale delle lettere componenti il radicale delle parole (siano radici, o derivati, o composti); e non ostante che p. e. la lingua inglese e la tedesca, nelle quali essi riescono molto meglio, (anche nel tradurre ec. mentre una traduzione francese dall'italiano dal latino o dal greco non è riconoscibile) appartengano a tutt'altra famiglia di lingue. (1 Maggio 1821). {{V. p. 1007. capoverso 1.}}"

https://digitalzibaldone.net/node/p1004_1,"﻿ 1004 Uno dei principali dogmi del Cristianesimo è la degenerazione dell'uomo da uno stato primitivo più perfetto e felice: e con questo dogma è legato quello della Redenzione, e si può dir, tutta quanta la Religion Cristiana. Il principale insegnamento del mio sistema, è appunto la detta degenerazione. Tutte, per tanto, le infinite osservazioni e prove generali o particolari, ch'io adduco per dimostrare come l'uomo fosse fatto primitivamente alla felicità, come il suo stato perfettamente naturale (che non si trova mai nel fatto) fosse per lui il solo perfetto, come quanto più ci allontaniamo dalla natura, tanto più diveniamo infelici ec. ec: tutte queste, dico, sono altrettante prove dirette di uno dei dogmi principali del Cristianesimo, e possiamo dire, della verità dello stesso Cristianesimo. (1. Maggio 1821.)."

https://digitalzibaldone.net/node/p1004_2,"Tanto era l'odio degli antichi (quanti aveano una patria e una società) verso gli stranieri, e verso le altre patrie e società qualunque; che una potenza minima, o anche una città solo assalita da una nazione intera (come Numanzia da' Romani), non veniva mica a patti, ma resisteva con tutte le sue forze, e la resistenza si misurava dalle dette forze, non già da quelle del nemico; e la deliberazione di resistere era immãcabile[immancabile], e immediata, e senza consultazione vervna; e dipendeva dall'essere assaliti, non ﻿ 1005 già dalla considerazione delle forze degli assalitori e delle proprie, dei mezzi di resistenza, delle speranze che potevano essere nella difesa ec. E questa era, come ho detto [pp. 879-80], una conseguenza naturale dell'odio scambievole delle diverse società, dell'odio che esisteva nell'assalitore, e che obbligava l'assalito a disperare de' patti; dell'odio che esisteva nell'assalito, e che gl'impediva di consentire a soggettarsi in qualunque modo, malgrado qualunque utilità nel farlo, e qualunque danno nel ricusarlo, ed anche la intera distruzione di se stessi e della propria patria, come si vede nel fatto presso gli antichi, e fra gli altri, nel citato esempio di Numanzia."

