par_id,surface,start,end,wikidata,type,match,pattern
p4157_3,S. F. Saverio,113,126,Q163900,PER,partial,San Francesco Saverio
p4154_5,V. Forcellini,21,34,Q550353,PER,partial,Egidio Forcellini
p2740_1,Simonide,423,431,Q273003,PER,exact,
p3472_1,Aristotele,2272,2282,Q868,PER,exact,
p3472_1,Isocrate,3312,3320,Q221182,PER,exact,
p124_1,Montesquieu,123,134,Q15975,PER,exact,
p4479_3,Sesto Cheronese,603,618,Q2567890,PER,exact,
p44_1,Demostene,204,213,Q117253,PER,exact,
p44_1,Plutarco,177,185,Q41523,PER,exact,
p44_1,Longino,217,224,Q436634,PER,partial,Cassio Dionisio Longino
p2809_1,Lorenzo de' Medici,1044,1062,Q177854,PER,exact,
p109_4,Algarotti Saggio,1941,1957,Q439081,PER,partial,Francesco Algarotti
p109_4,Staël,1358,1363,Q123041,PER,partial,Anne Louise Germaine de Staël
p2012_1,Mai al Filone,629,642,Q189597,PER,partial,Filone di Alessandria
p2012_1,Eusebio del Mai,524,539,Q304825,PER,partial,Angelo Mai
p1084_1,P. d'Orléans,770,782,Q3383223,PER,partial,Pierre-Joseph d'Orléans
p1084_1,Lambert,871,878,Q457511,PER,partial,Madame de Lambert
p67_3,V. Roberti,8,18,Q3762424,PER,partial,Giambattista Roberti
p57_2,Teocrito,177,185,Q219484,PER,exact,
p57_2,Sanazzaro,58,67,Q510621,PER,levenshtein,Sannazaro
p4197_4,Sueton,10,16,Q10133,PER,levenshtein,Suetonio
p360_1,Nep.,92,96,Q109594,PER,exact,
p364_1,Middleton,148,157,Q979071,PER,partial,Conyers Middleton
p24_2,Filicaia,3,11,Q2252971,PER,partial,Vincenzio da Filicaia
p4302_4,Pisa,142,146,Q13375,LOC,exact,
p4116_1,Gesn.,62,67,Q60116,PER,levenshtein,Gesner
p3317_1,Forcellini,109,119,Q550353,PER,partial,Egidio Forcellini
p2538_1,Petrarca,1407,1415,Q1401,PER,exact,
p3884_1,Metastasio,1099,1109,Q29473,PER,exact,
p3884_1,Federico II,252,263,Q33550,PER,partial,Federico II di Prussia
p4073_1,Ferdinando il Cattolico,14,37,Q12860,PER,exact,
p4082_4,Corticelli,64,74,Q21124239,PER,partial,Salvatore Corticelli
p3074_2,Claudio,28,35,Q1411,PER,exact,
p4145_3,Sévigné,220,227,Q78440560,PER,partial,Madame de Sévigné
p47_3,Oraz,2360,2364,Q6197,PER,levenshtein,Orazio
p4408_2,W. Schlegel,3,14,Q57281,PER,partial,August Wilhelm von Schlegel
p1145_1,Messala Corvino,367,382,Q508117,PER,partial,Marco Valerio Messalla Corvino
p4274_1,V. Forcellini,25,38,Q550353,PER,partial,Egidio Forcellini
p4319_2,Férussac,3579,3587,Q32376,PER,exact,
p3571_2,Richelet,1762,1770,Q1236889,PER,partial,César-Pierre Richelet
p58_6,Sanazzaro,68,77,Q510621,PER,levenshtein,Sannazaro
p4197_7,Teodoro Gadareno,14,30,Q1631829,PER,partial,Teodoro di Gadara
p4208_3,Stefano Biz.,139,151,Q380881,PER,partial,Stefano di Bisanzio Grammatico
p3477_4,Ariosto,888,895,Q48900,PER,exact,
p3477_4,Lord Byron,165,175,Q5679,PER,exact,
p3477_4,Lord Byron,193,203,Q5679,PER,exact,
p3477_4,Lord Byron,341,351,Q5679,PER,exact,
p3477_4,Lord Byron,574,584,Q5679,PER,exact,
p3477_4,Lord Byron,618,628,Q5679,PER,exact,
p3477_4,Lord Byron,934,944,Q5679,PER,exact,
p3477_4,Lord Byron,1219,1229,Q5679,PER,exact,
p4245_5,Salvini,71,78,Q349065,PER,partial,Antonio Maria Salvini
p4245_5,Speroni Dial,9,21,Q352663,PER,partial,Sperone Speroni
p1445_1,Thomas Essai sur les Eloges,129,156,Q301210,PER,partial,Antoine Léonard Thomas
p62_2,Senofonte,190,199,Q129772,PER,exact,
p62_2,Senofonte,443,452,Q129772,PER,exact,
p4414_3,Esiodo,433,439,Q44233,PER,exact,
p989_1,Marcaurelio,607,618,Q1430,PER,levenshtein,Marco Aurelio
p989_1,Marcaurelio,1022,1033,Q1430,PER,levenshtein,Marco Aurelio
p676_3,de Lambert,1226,1236,Q457511,PER,partial,Madame de Lambert
p4433_2,Beneventum,520,530,Q105706880,LOC,exact,
p1281_3,Forcellini,1429,1439,Q550353,PER,partial,Egidio Forcellini
p4312_2,Copenhague,101,111,Q1748,LOC,exact,
p3593_1,Goffredo,291,299,Q76721,PER,exact,
p4460_6,Dionisio d'Alicarnasso,14,36,Q26204,PER,exact,
p2376_1,Heyne,377,382,Q63182,PER,partial,Christian Gottlob Heyne
p501_2,Romamque,287,295,Q220,LOC,exact,
p501_2,Floro,159,164,Q316483,PER,exact,
p501_2,Forcellini,147,157,Q550353,PER,partial,Egidio Forcellini
p2715_2,Perticari,147,156,Q3769747,PER,partial,Giulio Perticari di Savignano
