par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2705_1,Italia,114,120,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2711_1,California,1276,1286,Q99,LOC,exact,
https://digitalzibaldone.net/node/p2722_1,Parma,1355,1360,Q2683,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,Constantinopoli,395,410,Q16869,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Europa latina,482,495,Q1064023,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Italia,642,648,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Romae,513,518,Q220,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,italia,89,95,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,italia,370,376,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,italia,719,725,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2804_1,Tebe,2200,2204,Q11225429,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Torino,1203,1209,Q495,LOC,exact,
https://digitalzibaldone.net/node/p2875_1,Germania,728,736,Q183,LOC,exact,
https://digitalzibaldone.net/node/p2879_2,Italia,327,333,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2881_1,Milano,187,193,Q490,LOC,exact,
https://digitalzibaldone.net/node/p2881_1,Italia,326,332,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2881_1,Sicilia,448,455,Q1460,LOC,exact,
https://digitalzibaldone.net/node/p2882_1,Ispagna,1250,1257,Q29,LOC,exact,
https://digitalzibaldone.net/node/p2884_1,Parma,501,506,Q2683,LOC,exact,
https://digitalzibaldone.net/node/p2910_1,Francia,1101,1108,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2914_1,Francia,1233,1240,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2977_1,Cremona,1051,1058,Q6231,LOC,exact,
https://digitalzibaldone.net/node/p2977_1,Paris,1570,1575,Q90,LOC,exact,
