id,start_pos,end_pos,surface,type,score
https://digitalzibaldone.net/node/p2703_1,1285,1288,Cru,LOC,0.6266506
https://digitalzibaldone.net/node/p2757_1,257,263,Musica,LOC,0.64282924
https://digitalzibaldone.net/node/p2757_1,449,455,Musica,LOC,0.7178152
https://digitalzibaldone.net/node/p2775_1,734,741,Scapula,LOC,0.98827845
https://digitalzibaldone.net/node/p2776_1,1654,1655,E,LOC,0.49734843
https://digitalzibaldone.net/node/p2778_1,1132,1138,Dorica,LOC,0.940874
https://digitalzibaldone.net/node/p2778_1,1203,1207,Eoli,LOC,0.9865422
https://digitalzibaldone.net/node/p2790_1,551,556,Terra,LOC,0.84235424
https://digitalzibaldone.net/node/p2792_2,321,331,Forcellini,LOC,0.9336972
https://digitalzibaldone.net/node/p2818_1,696,700,Beto,LOC,0.8350242
https://digitalzibaldone.net/node/p2842_1,849,856,Gavisci,LOC,0.7619373
https://digitalzibaldone.net/node/p2842_1,870,877,Gavisio,LOC,0.77603275
https://digitalzibaldone.net/node/p2842_1,879,886,Gausida,LOC,0.7803449
https://digitalzibaldone.net/node/p2842_1,909,916,Gausita,LOC,0.86397916
https://digitalzibaldone.net/node/p2842_1,935,942,Gauzita,LOC,0.94465715
https://digitalzibaldone.net/node/p2842_1,967,972,Gozar,LOC,0.6538193
https://digitalzibaldone.net/node/p2889_1,10,13,ἕζω,LOC,0.7333066
https://digitalzibaldone.net/node/p2889_1,15,18,Dor,LOC,0.87568146
https://digitalzibaldone.net/node/p2889_2,726,732,Eructo,LOC,0.9343489
https://digitalzibaldone.net/node/p2919_2,510,517,Corinto,LOC,0.97230494
https://digitalzibaldone.net/node/p2925_2,284,290,Crusca,LOC,0.6571568
https://digitalzibaldone.net/node/p2925_2,561,567,Crusca,LOC,0.76739264
https://digitalzibaldone.net/node/p2925_2,731,734,Mal,LOC,0.62237954
https://digitalzibaldone.net/node/p2934_2,486,492,Latino,LOC,0.9913144
https://digitalzibaldone.net/node/p2983_2,508,514,Crusca,LOC,0.75298244
https://digitalzibaldone.net/node/p2986_2,60,66,Nuvolo,LOC,0.4102645
https://digitalzibaldone.net/node/p2991_1,332,338,Quaeso,LOC,0.48560715
https://digitalzibaldone.net/node/p2995_1,393,399,Crusca,LOC,0.6644387
https://digitalzibaldone.net/node/p2995_1,405,415,Buommattei,LOC,0.60140634
https://digitalzibaldone.net/node/p2998_3,303,308,Crepo,LOC,0.50508475
