par_id,surface,start,end,wikidata,type,match,pattern
p2793_2,Porfirio,2562,2570,Q203445,PER,exact,
p2793_2,Plotino,2613,2620,Q134189,PER,exact,
p2793_2,Porphyrii,2665,2674,Q203445,PER,levenshtein,porfirio
p2740_1,Palamede,4207,4215,Q252387,PER,exact,
p2740_1,Simonide,4326,4334,Q273003,PER,exact,
p2740_1,Plinio,4189,4195,Q82778,PER,partial,
p2759_2,Eneide,549,555,Q60220,PER,exact,
p2718_1,Perticari,2208,2217,Q3769747,PER,partial,
p2786_1,Visconti,2066,2074,Q691834,PER,partial,
p2786_1,Scapula,2196,2203,Q3179685,PER,partial,
p2786_1,Tusano,2209,2215,Q21543031,PER,partial,
p2786_1,Visconti,2240,2248,Q691834,PER,partial,
p2700_1,Dante,1562,1567,Q1067,PER,exact,
p2792_2,Forcellini,330,340,Q550353,PER,partial,
p2705_1,Dante,158,163,Q1067,PER,exact,
p2705_1,Perticari,136,145,Q3769747,PER,partial,
p2762_1,Omero,2105,2110,Q6691,PER,exact,
p2762_1,Virgilio,2347,2355,Q1398,PER,exact,
p2762_1,Enea,2384,2388,Q82732,PER,exact,
p2762_1,Didone,2538,2544,Q905162,PER,exact,
p2762_1,Omero,2704,2709,Q6691,PER,exact,
p2762_1,Luciano,2724,2731,Q177847,PER,partial,
p2705_3,Perticari,598,607,Q3769747,PER,partial,
p2705_3,Monti,632,637,Q723643,PER,partial,
p2771_3,Senofon,2557,2564,Q129772,PER,levenshtein,senofonte
p2775_1,Scapula,743,750,Q3179685,PER,partial,
p2703_1,Richelet,818,826,Q1236889,PER,partial,
p2767_1,Omero,2271,2276,Q6691,PER,exact,
p2767_1,Achille,2307,2314,Q41746,PER,exact,
p2767_1,Achille,2532,2539,Q41746,PER,exact,
p2734_1,Maffei,323,329,Q1587432,PER,partial,
p2734_1,Africano,405,413,Q317014,PER,partial,
p2778_1,Ammon,1699,1704,Q695923,PER,levenshtein,ammonio
p2783_1,Perticari,745,754,Q3769747,PER,partial,
p2728_1,Buffon,2665,2671,Q229264,PER,exact,
p2728_1,Buffon,3162,3168,Q229264,PER,exact,
