id,start_pos,end_pos,surface,type,score
p2757_1,266,272,Musica,LOC,0.7121152
p2757_1,458,464,Musica,LOC,0.7780719
p2796_1,552,579,Procopium Sophistam - Gazaeum,LOC,0.6662425
p2792_2,330,340,Forcellini,LOC,0.731111
p2775_1,743,750,Scapula,LOC,0.9798929
p2703_1,1294,1297,Cru,LOC,0.71675473
p2778_1,1141,1147,Dorica,LOC,0.9165746
p2778_1,1212,1216,Eoli,LOC,0.989434
p2790_1,560,565,Terra,LOC,0.879105
p2820_2,534,544,Forcellini,LOC,0.6100419
p2889_2,735,741,Eructo,LOC,0.6220439
p2882_1,1630,1639,Teutonica,LOC,0.6793358
p2842_1,858,865,Gavisci,LOC,0.8472478
p2842_1,879,886,Gavisio,LOC,0.8616968
p2842_1,888,895,Gausida,LOC,0.785918
p2842_1,918,925,Gausita,LOC,0.8819077
p2842_1,944,951,Gauzita,LOC,0.93867284
p2842_1,976,981,Gozar,LOC,0.6718675
p2995_1,405,408,##sca,LOC,0.47401434
p2930_2,76,79,Pis,LOC,0.36360255
p2919_2,519,526,Corinto,LOC,0.9725842
p2925_2,293,296,Cru,LOC,0.60692394
p2983_2,517,523,Crusca,LOC,0.7475284
p2932_1,1264,1268,Pisa,LOC,0.30366415
